Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-03-04,51.878,42.99,47.709,47.853,47.248,48.17,3898.1297515
2017-03-05,76.841,43.326,43.515,43.789,43.224,43.806,10396.72388396
2017-03-06,44.974,40.0,42.5635,42.77,42.358,42.769,4512.00407545
2017-03-07,47.576,42.768,46.7105,46.382,46.593,46.828,3840.57874146
2017-03-08,46.89,43.501,45.7725,45.927,45.545,46.0,1278.23629452
2017-03-09,45.755,42.004,42.197,42.5,42.031,42.363,1399.4561271
2017-03-10,53.971,41.4,51.515,51.66,51.135,51.895,8123.23471239
2017-03-11,56.988,43.001,50.1425,50.235,49.785,50.5,7557.56401723
2017-03-12,74.181,50.0,72.734,72.0,72.12,73.348,17862.59388041
2017-03-13,82.097,69.232,77.2085,77.629,76.8,77.617,12327.62571648
2017-03-14,93.801,73.01,88.6065,88.885,88.042,89.171,22704.00649074
2017-03-20,109.99,98.5,105.96,106.0,105.92,106.0,15574.44220065
2017-03-21,103.0,89.452,95.608,95.5,95.347,95.869,30269.75044659
2017-03-22,108.0,88.909,100.9,101.77,100.46,101.34,21393.57699028
2017-03-23,103.02,97.501,100.735,100.59,100.67,100.8,4164.63365749
2017-03-24,107.79,96.793,96.827,96.793,96.793,96.861,13662.45033558
2017-03-25,99.842,85.01,92.659,92.304,92.4,92.918,21823.42329853
2017-03-26,95.705,90.0,90.8145,90.965,90.664,90.965,6469.41284592
2017-03-27,94.98,76.261,80.903,80.943,80.676,81.13,33069.00642517
2017-03-28,90.0,80.009,87.2315,86.707,86.991,87.472,8595.34005042
2017-03-29,87.599,82.0,84.641,84.746,84.401,84.881,15524.4857666
2017-03-30,85.0,75.6,77.852,78.048,77.639,78.065,19001.12238179
2017-03-31,78.779,64.8,71.7845,71.354,71.7,71.869,49173.96511474
2017-04-01,74.0,66.5,68.2325,68.454,68.098,68.367,13747.06409174
2017-04-02,70.472,57.875,58.2735,58.471,58.064,58.483,28582.58751245
2017-04-03,68.2,47.53,56.889,56.75,56.75,57.028,69122.64856359
2017-04-04,72.219,56.501,68.544,68.6,68.206,68.882,33387.51013184
2017-04-05,78.996,65.481,73.2495,73.4,72.928,73.571,22565.59241773
2017-04-06,75.499,65.2,66.5505,66.499,66.492,66.609,15904.95972325
2017-04-07,71.198,65.3,65.6365,65.531,65.53,65.743,8440.59834925
2017-04-08,70.9,65.0,68.4935,68.54,68.318,68.669,8730.73858476
2017-04-09,69.989,65.78,66.646,66.6,66.6,66.692,5716.51741913
2017-04-10,67.0,60.551,62.1295,62.0,62.0,62.259,9052.46565049
2017-04-11,64.29,60.45,61.774,61.72,61.568,61.98,11147.20294464
2017-04-12,69.886,60.51,68.8005,68.594,68.602,68.999,22065.55206421
2017-04-13,77.767,66.96,73.801,73.595,73.7,73.902,25818.31979056
2017-04-14,74.789,70.1,73.4685,73.526,72.939,73.998,13678.58312873
2017-04-15,79.998,71.018,77.1945,77.319,77.002,77.387,11942.6168379
2017-04-16,78.766,75.5,77.008,77.0,76.934,77.082,5439.37926872
2017-04-17,78.88,75.53,78.3445,78.585,78.108,78.581,3761.33931285
2017-04-18,79.31,73.105,75.776,75.959,75.612,75.94,7435.05907439
2017-04-19,78.973,75.6,76.5585,76.67,76.447,76.67,2626.06332494
2017-04-20,76.7,74.05,75.3575,75.5,75.25,75.465,3527.16797483
