Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-06-13,1.3,0.41,0.59581,0.59773,0.594,0.59762,8894930.946752
2017-06-14,0.6101,0.47948,0.509245,0.50639,0.50639,0.5121,8456381.2743254
2017-06-15,0.5447,0.29123,0.36765,0.366,0.366,0.3693,6423010.9577143
2017-06-16,0.599,0.3053,0.415355,0.4154,0.41531,0.4154,4989697.3118205
2017-06-17,0.45116,0.39,0.432555,0.4321,0.4321,0.43301,1640794.3676188
2017-06-18,0.4502,0.385,0.40153,0.4028,0.40026,0.4028,1745484.2020234
2017-06-19,0.435,0.395,0.420565,0.42,0.42003,0.4211,1394947.3244665
2017-06-20,0.4439,0.41073,0.43815,0.439,0.43631,0.43999,3308231.2144553
2017-06-21,0.46244,0.415,0.42091,0.42639,0.41794,0.42388,3916081.265555
2017-06-22,0.4499,0.41142,0.4365,0.43999,0.4341,0.4389,1082060.6360925
2017-06-23,0.47,0.433,0.469995,0.47,0.46999,0.47,1565343.000343
2017-06-24,0.62894,0.47,0.498155,0.4999,0.49701,0.4993,9241790.4636675
2017-06-25,0.52142,0.4401,0.454435,0.45499,0.45391,0.45496,3547174.3237354
2017-06-26,0.4659,0.3401,0.38995,0.38989,0.3899,0.39,6455678.636516
2017-06-27,0.43,0.3483,0.394675,0.39699,0.39246,0.39689,3867384.4555726
2017-06-28,0.4,0.35112,0.369155,0.37076,0.36831,0.37,3390040.2451863
2017-06-29,0.4599,0.36194,0.414475,0.41534,0.41351,0.41544,3864522.5352212
2017-06-30,0.449,0.39993,0.39946,0.39993,0.399,0.39992,2537508.4329624
2017-07-01,0.41288,0.3701,0.3813,0.38217,0.38,0.3826,1814735.5714881
2017-07-02,0.39,0.36,0.37097,0.371,0.37094,0.371,2265489.0739981
2017-07-03,0.385,0.35,0.382565,0.382,0.382,0.38313,3695061.0100733
2017-07-04,0.4098,0.37022,0.3909,0.3884,0.38871,0.39309,2809161.5293643
2017-07-05,0.39869,0.36811,0.38165,0.38129,0.3814,0.3819,2415769.3565053
