Date,High,Low,Mid,Last,Bid,Ask,Volume
2016-12-01,9.5549,7.004,8.94155,9.0275,8.7361,9.147,1247.67560251
2016-12-02,9.1124,8.3579,8.57865,8.5982,8.5111,8.6462,3251.99547541
2016-12-03,8.5111,7.9128,8.13915,8.2119,8.0664,8.2119,4260.38923307
2016-12-04,8.46,8.0774,8.14555,8.1,8.0911,8.2,810.49581715
2016-12-05,8.4,7.76,7.7648,7.76,7.7301,7.7995,1492.7304733
2016-12-06,8.0658,7.6101,7.8051,7.7836,7.7633,7.8469,476.80683054
2016-12-07,7.89,7.0014,7.4766,7.3231,7.424,7.5292,2101.99185187
2016-12-08,7.9799,7.2601,7.85765,7.8638,7.8073,7.908,513.06140936
2016-12-09,8.0058,7.6894,7.75815,7.7923,7.735,7.7813,148.73047129
2016-12-10,8.01,7.79,7.93175,7.955,7.8989,7.9646,14.95733403
2016-12-11,7.9753,7.6501,7.7307,7.7133,7.6588,7.8026,217.09719796
2016-12-12,8.054,7.72,7.89565,7.9225,7.8686,7.9227,441.28458717
2016-12-13,7.9865,7.8251,8.0231,7.9865,7.9735,8.0727,925.44230691
2016-12-14,8.169,7.9298,8.0904,8.169,8.0108,8.17,274.49501767
2016-12-15,8.5499,8.118,8.3745,8.4528,8.3501,8.3989,2204.7639383
2016-12-16,8.4897,8.2667,8.4557,8.4443,8.4443,8.4671,3389.39284572
2016-12-17,8.5117,8.3814,8.5022,8.5117,8.4846,8.5198,601.25480638
2016-12-18,8.4722,8.25,8.32215,8.2648,8.2648,8.3795,1595.81862253
2016-12-19,8.85,8.399,8.5989,8.7303,8.5326,8.6652,883.7671788
2016-12-20,8.7234,8.39,8.5884,8.7234,8.4765,8.7003,326.20584395
2016-12-21,8.7258,8.36,8.4169,8.39,8.3605,8.4733,2368.58405021
2016-12-22,8.6344,8.2,8.28475,8.3111,8.2199,8.3496,1989.83713446
2016-12-23,9.47,8.2689,8.84265,8.9248,8.8135,8.8718,1894.57539553
2016-12-24,9.7,8.8888,9.52735,9.5,9.5047,9.55,2500.50516753
2016-12-25,9.7,9.4436,9.6325,9.657,9.6171,9.6479,405.43354578
2016-12-26,9.9493,9.2844,9.72195,9.7,9.6952,9.7487,3684.46501485
2016-12-27,10.399,9.7483,10.2245,10.25,10.15,10.299,3149.63128739
2016-12-28,13.0,10.151,12.574,12.619,12.313,12.835,6375.17852283
2016-12-29,14.75,12.048,14.1395,14.372,13.907,14.372,4350.09160548
2016-12-30,14.358,12.285,13.1545,13.1,13.0,13.309,1208.70551637
2016-12-31,13.3,12.1,12.86,12.749,12.72,13.0,627.41589011
2017-01-01,13.92,12.9,13.791,13.486,13.648,13.934,444.07848425
2017-01-02,14.1,13.45,14.031,13.882,13.882,14.18,1380.16845348
2017-01-03,17.4,13.777,16.0135,16.196,15.968,16.059,6147.67820701
2017-01-04,16.953,14.9,15.8655,15.692,15.731,16.0,4417.38631634
2017-01-05,18.4,15.79,18.1855,18.364,18.043,18.328,5230.6941898
2017-01-06,18.6,14.001,16.089,15.8,15.619,16.559,7068.40181066
2017-01-07,16.443,13.364,14.0275,13.875,13.87,14.185,5972.12462596
2017-01-08,13.843,12.25,13.066,13.0,13.0,13.132,7695.89239522
2017-01-09,13.9,12.842,13.5145,13.553,13.437,13.592,1827.18286141
2017-01-10,13.695,12.718,13.6125,13.694,13.531,13.694,4429.70155117
2017-01-11,13.965,13.339,13.419,13.339,13.338,13.5,1247.08803079
2017-01-12,13.6,11.061,11.6075,11.686,11.463,11.752,6521.67213896
2017-01-13,12.249,11.25,11.861,11.843,11.778,11.944,5781.68856438
2017-01-14,12.0,10.932,11.2975,11.293,11.169,11.426,4553.54082904
2017-01-15,11.699,10.98,11.0585,11.1,11.017,11.1,2387.60730559
2017-01-16,11.1,9.9,10.66,10.7,10.62,10.7,5087.91875501
